genre_ids,original_language,popularity,release_date,title,vote_average,vote_count
"[18, 10749]",en,6.629,2010-12-06,Sundays at Tiffany's,6.5,43
"[27, 53, 80, 9648]",en,6.606,2010-12-17,And Soon the Darkness,5.2,197
"[12, 14, 16, 28, 53, 878, 10751]",en,6.591,2010-11-24,Firebreather,6.2,33
"[35, 10749]",en,6.579,2010-01-08,Crazy on the Outside,5.4,48
"[80, 18, 53, 36]",en,6.568,2010-10-11,Carlos,7.0,87
"[18, 10751, 12]",en,6.568,2010-03-23,Free Willy: Escape from Pirate's Cove,5.2,61
"[35, 18, 10749]",it,6.53,2010-06-06,Come Undone,5.6,49
"[35, 10749]",en,6.523,2010-03-23,The Prince & Me 4: The Elephant Adventure,5.5,37
"[16, 28, 53, 878]",en,6.516,2010-12-07,Inception: The Cobol Job,7.4,227
"[9648, 18]",en,6.481,2010-01-08,Beautiful Kate,6.1,29
[27],en,6.474,2010-01-01,Super Hybrid,5.1,35
[99],en,6.468,2010-01-24,Gasland,7.5,80
"[28, 12, 27, 878]",en,6.457000000000001,2010-04-10,Mega Piranha,2.9,78
"[27, 53]",en,6.44,2010-10-01,Chain Letter,4.1,63
[18],en,6.428,2010-04-24,Dog Pound,7.6,177
