genre_ids,original_language,popularity,release_date,title,vote_average,vote_count,studio,domestic_gross,foreign_gross,year,total_gross
"[18, 12, 36]",en,7.502999999999999,2010-09-03,The Way Back,6.9,759,NM,2700000.0,17600000.0,2011,20300000.0
"[35, 10751]",en,7.442,2010-07-23,Ramona and Beezus,6.3,460,Fox,26200000.0,1100000.0,2010,27300000.0
"[35, 10749]",en,7.364,2010-12-30,Tamara Drewe,5.8,226,SPC,560000.0,11400000.0,2010,11960000.0
"[18, 37]",en,7.309,2010-10-08,Meek's Cutoff,6.5,113,Osci.,978000.0,652000000.0,2011,652978000.0
"[35, 18, 36]",en,7.275,2010-11-19,Made in Dagenham,6.6,150,SPC,1100000.0,11300000.0,2010,12400000.0
[99],en,7.1720000000000015,2010-09-17,Catfish,6.8,284,Rog.,3200000.0,242000.0,2010,3442000.0
[18],en,7.14,2010-01-22,Hesher,7.0,335,WHE,383000.0,652000000.0,2011,652383000.0
[18],en,7.12,2010-09-24,Howl,6.8,100,Osci.,617000.0,566000.0,2010,1183000.0
"[99, 10752]",en,7.119,2010-06-25,Restrepo,7.5,188,NGE,1300000.0,105000.0,2010,1405000.0
[18],en,7.099,2010-01-27,Nowhere Boy,7.3,469,Wein.,1500000.0,5100000.0,2010,6600000.0
"[80, 18, 53]",en,7.0870000000000015,2010-04-27,The Killer Inside Me,5.9,304,IFC,217000.0,3800000.0,2010,4017000.0
"[35, 18, 10749]",en,7.0470000000000015,2010-05-14,Just Wright,6.2,211,FoxS,21500000.0,29900.0,2010,21529900.0
"[18, 9648, 10749]",en,6.824,2010-10-02,Shanghai,6.1,80,Wein.,46400.0,9200000.0,2015,9246400.0
"[35, 18, 10749]",en,6.752999999999999,2010-12-17,How Do You Know,5.1,453,Sony,30200000.0,18500000.0,2010,48700000.0
"[10749, 35, 18]",en,6.695,2010-11-12,Tiny Furniture,5.9,82,IFC,392000.0,652000000.0,2010,652392000.0
[35],en,6.6320000000000014,2010-07-30,Dinner for Schmucks,5.6,920,P/DW,73000000.0,13800000.0,2010,86800000.0
"[80, 18, 53, 36]",en,6.568,2010-10-11,Carlos,7.0,87,IFC,146000.0,726000.0,2010,872000.0
"[27, 53]",en,6.44,2010-10-01,Chain Letter,4.1,63,NFC,139000.0,447000.0,2010,586000.0
"[35, 18]",en,6.4239999999999995,2010-04-16,The Joneses,6.2,312,RAtt.,1500000.0,5500000.0,2010,7000000.0
[99],en,0.634,2016-04-28,The Joneses,6.0,1,RAtt.,1500000.0,5500000.0,2010,7000000.0
"[10402, 35, 18]",en,6.386,2010-09-10,I'm Still Here,6.0,179,Magn.,409000.0,160000.0,2010,569000.0
[99],en,6.346,2010-03-19,Hubble 3D,7.1,54,WB,52400000.0,21500000.0,2010,73900000.0
[18],en,6.3,2010-01-21,Extraordinary Measures,6.3,153,CBS,12100000.0,3100000.0,2010,15200000.0
"[18, 14]",en,6.3,2010-12-10,The Tempest,5.8,52,Mira.,278000.0,68700.0,2010,346700.0
[35],fr,6.2810000000000015,2010-12-20,The Women on the 6th Floor,6.7,183,Strand,720000.0,22500000.0,2011,23220000.0
"[28, 53, 37]",en,6.269,2010-11-05,Red Hill,6.1,79,Strand,21100.0,300000.0,2010,321100.0
"[35, 18, 10749]",en,6.209,2010-05-23,You Will Meet a Tall Dark Stranger,5.8,431,SPC,3200000.0,31000000.0,2010,34200000.0
"[16, 35]",da,6.135,2010-03-26,Terkel in Trouble,6.4,39,Indic.,10800.0,652000000.0,2010,652010800.0
[99],en,6.068,2010-09-24,"Waiting for ""Superman""",7.0,70,ParV,6400000.0,9300.0,2010,6409300.0
"[18, 28, 10749]",hi,6.058,2010-05-21,Kites,5.8,67,Relbig.,1600000.0,1300000.0,2010,2900000.0
"[18, 878, 35, 9648]",en,6.0520000000000005,2010-10-06,Kaboom,5.7,175,IFC,119000.0,421000.0,2011,540000.0
"[35, 80, 53]",en,5.996,2010-09-17,Leaves of Grass,6.0,214,First,70100.0,949000.0,2010,1019100.0
"[35, 18]",en,5.945,2010-01-22,Please Give,6.3,81,SPC,4000000.0,280000.0,2010,4280000.0
"[18, 10749]",hi,5.919,2010-11-19,Guzaarish,7.6,52,UTV,1000000.0,695000.0,2010,1695000.0
[35],en,5.7620000000000005,2010-06-03,High School,5.8,68,Anch.,139000.0,652000000.0,2012,652139000.0
[35],en,5.7620000000000005,2010-06-03,High School,5.8,68,Anch.,139000.0,652000000.0,2012,652139000.0
[99],en,5.705,2010-10-01,Freakonomics,6.6,57,Magn.,101000.0,16400.0,2010,117400.0
[14],fi,5.704,2010-12-03,Rare Exports: A Christmas Tale,6.5,233,Osci.,236000.0,3800000.0,2010,4036000.0
